(business1)
%/NN	TF:8
move/NN	TF:1
movement/NN	TF:1
Mr/NNP	TF:1
need/VBP	TF:1
New/NNP	TF:2
newspaper/NN	TF:1
opened/VBN	TF:1
peg/NN	TF:1
pegged/VBN	TF:1
point/NN	TF:1
policy/NN	TF:2
prices/NNS	TF:1
produce/VB	TF:1
prop/VB	TF:1
quarter/NN	TF:1
rates/NNS	TF:2
reached/VBD	TF:1
reduce/VB	TF:1
remain/VB	TF:1
remain/VBP	TF:1
remains/VBZ	TF:1
Reserve/NNP	TF:3
result/NN	TF:1
rising/VBG	TF:1
Robert/NNP	TF:1
said/VBD	TF:2
savings/NNS	TF:1
sent/VBD	TF:1
set/NN	TF:1
set/VBN	TF:1
shift/NN	TF:1
Sinche/NNP	TF:1
speech/NN	TF:1
speech/VBP	TF:1
spending/NN	TF:1
stabilise/VB	TF:1
strategy/NN	TF:1
taken/VBN	TF:1
taking/VBG	TF:2
think/VBP	TF:1
thought/VBN	TF:1
Thursday/NNP	TF:1
time/NN	TF:2
trade/NN	TF:1
trading/NN	TF:1
tumbled/VBN	TF:1
US/NNP	TF:8
view/NN	TF:2
White/NNP	TF:1
willingness/NN	TF:1
window/NN	TF:1
Worries/VBZ	TF:1
yawning/VBG	TF:1
year/NN	TF:1
York/NNP	TF:2

(business3)
action/NN	TF:1
agency/NN	TF:1
ambitions/NNS	TF:1
arbitration/NN	TF:1
are/VBP	TF:2
arm/NN	TF:1
ask/VB	TF:2
assets/NNS	TF:3
attempt/NN	TF:1
avoid/VB	TF:1
bankruptcy/NN	TF:1
banks/NNS	TF:1
bought/VBD	TF:1
bought/VBN	TF:1
buyer/NN	TF:2
case/NN	TF:1
claim/NN	TF:2
claims/NNS	TF:1
claims/VBZ	TF:1
clauses/NNS	TF:1
comment/NN	TF:1
company/NN	TF:2
connected/VBN	TF:1
court/NN	TF:1
credit/NN	TF:1
creditors/NNS	TF:1
debts/NNS	TF:1
December/NNP	TF:1
default/VBP	TF:1
demand/NN	TF:1
director/NN	TF:1
downfall/NN	TF:1
exists/NNS	TF:1
experts/NNS	TF:1
faces/VBZ	TF:2
fight/VB	TF:1
filed/VBN	TF:1
Firestone/NNP	TF:1
forced/VBN	TF:1
founder/NN	TF:1
giant/NN	TF:1
Group/NNP	TF:2
had/VBD	TF:2
has/VBZ	TF:2
have/VB	TF:1
include/VB	TF:1
intends/VBZ	TF:1
is/VBZ	TF:1
Jamie/NNP	TF:1
Khodorkovsky/NNP	TF:1
law/NN	TF:1
lawyer/NN	TF:1
loan/NN	TF:3
managing/VBG	TF:1
Menatep/NNP	TF:3
Mikhail/NNP	TF:1
money/NN	TF:1
news/NN	TF:1
obligations/NNS	TF:1
officials/NNS	TF:1
oil/NN	TF:1
Osborne/NNP	TF:1
owed/VBN	TF:1
owner/NN	TF:1
owners/NNS	TF:1
part/NN	TF:1
participant/NN	TF:1
pay/VB	TF:2
prevent/VB	TF:1
production/NN	TF:2
protection/NN	TF:1
punishment/NN	TF:1
purchase/NN	TF:1
recover/VB	TF:1
repay/VB	TF:1
Reuters/NNP	TF:1
Rosneft/NN	TF:1
Rosneft/NNP	TF:6
rule/NN	TF:1
Russia/NNP	TF:1
said/VBD	TF:3
sale/NN	TF:4
says/VBZ	TF:1
secured/VBN	TF:1
seizure/NN	TF:1
settle/VB	TF:1
shell/NN	TF:1
sold/VBN	TF:1
sue/VB	TF:1
take/VB	TF:1
tax/NN	TF:2
Tim/NNP	TF:1
told/VBD	TF:1
turn/NN	TF:1
unit/NN	TF:3
US/NNP	TF:2
vowed/VBN	TF:1
was/VBD	TF:3
went/VBD	TF:1
were/VBD	TF:1
Yugansk/NNP	TF:6
Yukos/NNP	TF:6
£479m/NNP	TF:1

(business4)
%/NN	TF:8
A321/NNP	TF:1
Airbus/NNP	TF:1
aircraft/NN	TF:1
airline/NN	TF:1
Airways/NNP	TF:1
analyst/NN	TF:2
anticipated/VBN	TF:1
are/VBP	TF:1
attacks/NNS	TF:1
aviation/NN	TF:1
Aviation/NNP	TF:1
BA/NNP	TF:11
be/VB	TF:2
beds/NNS	TF:1
benefiting/NN	TF:1
blamed/VBN	TF:1
BNP/NNP	TF:1
British/NNP	TF:1
Broughton/NNP	TF:1
Brul/NNP	TF:1
cargo/NN	TF:2
carriers/NNS	TF:1
chairman/NN	TF:1
closed/VBD	TF:1
Club/NNP	TF:1
compared/VBN	TF:1
competition/NN	TF:1
continues/VBZ	TF:1
continuing/VBG	TF:1
costs/NNS	TF:3
cut/VBN	TF:1
debt/NN	TF:1
December/NNP	TF:1
decline/VB	TF:1
delivery/NN	TF:1
described/VBD	TF:1
development/NN	TF:1
Dresdner/NNP	TF:1
drive/NN	TF:1
drop/NN	TF:1
Eddington/NNP	TF:2
estimated/VBN	TF:1
example/NN	TF:1
executive/NN	TF:1
expectation/NN	TF:1
expected/VBN	TF:1
expects/VBZ	TF:1
face/NN	TF:1
flights/NNS	TF:1
focus/NN	TF:1
forecast/VBN	TF:2
Friday/NNP	TF:1
fuel/NN	TF:8
guidance/NN	TF:1
had/VBD	TF:1
has/VBZ	TF:2
have/VBP	TF:1
help/VB	TF:1
hit/VBD	TF:1
impact/NN	TF:2
improvement/NN	TF:1
improvements/NNS	TF:1
increased/VBD	TF:1
introduced/VBD	TF:1
invest/VB	TF:1
is/VBZ	TF:2
January/NNP	TF:1
jobs/NNS	TF:1
Kleinwort/NNP	TF:1
leg/NN	TF:1
Looking/VBG	TF:1
lower/VB	TF:1
made/VBD	TF:1
March/NNP	TF:2
margins/NNS	TF:1
market/NN	TF:1
Martin/NNP	TF:1
Mike/NNP	TF:1
month/NN	TF:1
months/NNS	TF:1
Mr/NNP	TF:1
Nick/NNP	TF:1
numbers/NNS	TF:1
October/NNP	TF:1
offset/VB	TF:1
one-way/NN	TF:1
operating/VBG	TF:1
outlook/NN	TF:1
Paribas/NNP	TF:1
part/NN	TF:1
passenger/NN	TF:2
passengers/NNS	TF:1
pence/NN	TF:2
Powell/NNP	TF:1
price/NN	TF:1
prices/NNS	TF:3
products/NNS	TF:1
profit/NN	TF:1
profits/NNS	TF:3
quarter/NN	TF:2
raised/VBN	TF:1
reducing/VBG	TF:1
remains/VBZ	TF:1
reported/VBD	TF:1
Reporting/VBG	TF:1
results/NNS	TF:4
revenue/NN	TF:4
revenues/NNS	TF:3
rise/NN	TF:3
Rod/NNP	TF:1
rose/VBD	TF:2
said/VBD	TF:5
sales/NNS	TF:1
says/VBZ	TF:1
September/NNP	TF:1
shares/NNS	TF:1
shows/VBZ	TF:1
side/NN	TF:1
start/VB	TF:1
States/NNPS	TF:1
surcharge/NN	TF:3
surcharges/NNS	TF:1
taken/VBN	TF:1
Turnover/NN	TF:1
United/NNP	TF:1
Van/NNP	TF:1
warned/VBD	TF:1
was/VBD	TF:2
Wasserstein/NNP	TF:1
way/NN	TF:1
were/VBD	TF:3
whilst/NN	TF:1
World/NNP	TF:1
year/NN	TF:4
yields/NNS	TF:1
£1.97bn/VB	TF:1
£10/VB	TF:1
£106m/NNP	TF:1
£125m/NN	TF:1
£2.50/NN	TF:1
£250m/NN	TF:1
£4/VB	TF:1
£59m/NNP	TF:1
£6/NN	TF:1
£75m/NNP	TF:1

(business5)
%/NN	TF:3
acquisitions/NNS	TF:1
Allied/NNP	TF:5
Ballantine/NNP	TF:1
Baskin-Robbins/NNP	TF:1
be/VB	TF:1
bid/NN	TF:1
bought/VBN	TF:1
brands/NNS	TF:1
brandy/NN	TF:1
buy/VB	TF:1
capitalisation/NN	TF:1
chains/NNS	TF:2
Chivas/NNP	TF:1
Club/NNP	TF:1
comment/VB	TF:1
considering/VBG	TF:1
consolidation/NN	TF:1
contact/VB	TF:1
Courvoisier/NNP	TF:1
cream/NN	TF:1
Creek/NNP	TF:1
dealt/NN	TF:1
debt/NN	TF:1
Diageo/NNP	TF:1
Domecq/NNP	TF:5
Donuts/NNP	TF:1
drinks/NNS	TF:2
Dunkin/NNP	TF:1
euros/NN	TF:1
euros/NNS	TF:2
fast-food/NN	TF:1
Financial/NNP	TF:1
firm/NN	TF:2
firms/NNS	TF:2
food/NN	TF:2
France/NNP	TF:1
fund/VB	TF:1
Glenmorangie/NNP	TF:1
GMT/NNP	TF:1
goods/NNS	TF:1
has/VBZ	TF:4
Havana/NNP	TF:1
have/VBP	TF:1
having/VBG	TF:1
home/NN	TF:1
ice/NN	TF:1
improved/VBN	TF:1
include/VBP	TF:1
including/VBG	TF:1
is/VBZ	TF:3
Jacob/NNP	TF:1
Journal/NNP	TF:1
leader/NN	TF:1
lifts/VBZ	TF:1
London/NNP	TF:1
lost/VBD	TF:1
luxury/VB	TF:1
LVMH/NNP	TF:1
Malibu/NNP	TF:1
market/NN	TF:2
move/NN	TF:1
names/NNS	TF:1
Paris/NNP	TF:1
parts/NNS	TF:1
performance/NN	TF:1
Pernod/NNP	TF:9
portfolio/NN	TF:1
propelled/VBD	TF:1
purchase/NN	TF:2
reduced/VBN	TF:1
refused/VBD	TF:1
Regal/NNP	TF:1
Reports/NNS	TF:1
Ricard/NNP	TF:1
ripe/NNS	TF:1
risen/VBN	TF:1
rose/VBD	TF:1
rum/NN	TF:2
said/VBD	TF:2
Scotch/NNP	TF:1
Scotland/NNP	TF:1
Seagram/NNP	TF:3
seeking/VBG	TF:1
Shares/NNP	TF:1
shares/NNS	TF:2
slipped/VBD	TF:1
snack/NN	TF:1
specifics/NNS	TF:1
speculation/NN	TF:1
spirits/NNS	TF:1
Stolichnaya/NNP	TF:1
Street/NNP	TF:1
suggested/VBD	TF:1
takeover/NN	TF:2
talk/NN	TF:1
target/NN	TF:2
terms/NNS	TF:1
Times/NNP	TF:1
took/VBD	TF:1
tried/VBD	TF:1
two-thirds/NNS	TF:1
UK/NNP	TF:1
US/NNP	TF:1
value/NN	TF:1
vodka/NN	TF:1
Wall/NNP	TF:1
was/VBD	TF:3
were/VBD	TF:1
whisky/NN	TF:1
wine/NN	TF:1
WSJ/NNP	TF:1
year/NN	TF:1
£5.7bn/NNP	TF:1

(business6)
%/NN	TF:3
's/VBZ	TF:1
adjustment/NN	TF:1
basis/NN	TF:1
been/VBN	TF:1
brink/NN	TF:1
Brothers/NNPS	TF:1
climb/NN	TF:1
conditions/NNS	TF:1
consumption/NN	TF:1
contraction/NN	TF:1
data/NN	TF:2
definition/NN	TF:1
demand/NN	TF:1
developments/NNS	TF:1
economist/NN	TF:1
economy/NN	TF:3
escapes/VBZ	TF:1
exports/NNS	TF:1
face/NN	TF:1
feed/VB	TF:1
figures/NNS	TF:1
figures/VBZ	TF:1
government/NN	TF:1
growth/NN	TF:3
had/VBD	TF:1
have/VBP	TF:1
Heizo/NNP	TF:1
implications/NNS	TF:1
Improvements/NNS	TF:1
indicated/VBD	TF:1
indications/NNS	TF:1
is/VBZ	TF:1
Japan/NNP	TF:3
job/NN	TF:1
Lehman/NNP	TF:1
maintain/VBP	TF:1
making/VBG	TF:1
market/NN	TF:1
minister/NN	TF:1
monitor/VB	TF:1
months/NNS	TF:1
observers/NNS	TF:1
painting/VBG	TF:1
Paul/NNP	TF:1
phase/NN	TF:1
picture/NN	TF:1
play/VB	TF:1
quarter/NN	TF:2
quarters/NNS	TF:1
recession/NN	TF:3
recovery/NN	TF:2
remains/VBZ	TF:1
Revised/VBN	TF:1
said/VBD	TF:2
September/NNP	TF:1
Sheard/NNP	TF:1
show/VBP	TF:1
strengthening/VBG	TF:1
suggesting/VBG	TF:1
suggests/VBZ	TF:1
Takenaka/NNP	TF:1
teetered/VBD	TF:1
thought/VBN	TF:2
Tokyo/NNP	TF:1
view/NN	TF:1
was/VBD	TF:1
weakening/VBG	TF:1
were/VBD	TF:1
yen/NN	TF:1

(business7)
%/NN	TF:1
According/VBG	TF:1
added/VBD	TF:1
adding/VBG	TF:1
administration/NN	TF:1
albeit/NN	TF:1
amount/NN	TF:1
Analysts/NNS	TF:1
are/VBP	TF:2
be/VB	TF:1
became/VBD	TF:1
BMO/NNP	TF:1
boost/NN	TF:1
Bush/NNP	TF:1
celebrate/VB	TF:1
ClearView/NNP	TF:1
conditions/NNS	TF:1
continuing/VBG	TF:1
created/VBD	TF:1
creation/NN	TF:1
December/NNP	TF:2
Department/NNP	TF:2
deputy/NN	TF:1
do/VB	TF:1
dollar/NN	TF:1
Economics/NNP	TF:1
economist/NN	TF:1
economy/NN	TF:2
Egelton/NNP	TF:1
election/NN	TF:2
employment/NN	TF:2
ended/VBN	TF:1
environment/NN	TF:1
expand/VB	TF:1
expectations/NNS	TF:1
expected/VBN	TF:2
fall/NN	TF:2
figures/NNS	TF:2
Financial/NNP	TF:1
firms/NNS	TF:1
gain/NN	TF:1
gains/NNS	TF:2
getting/VBG	TF:1
given/VBN	TF:2
got/VBN	TF:1
Group/NNP	TF:1
growth/NN	TF:4
had/VBD	TF:1
have/VB	TF:1
Herbert/NNP	TF:1
Hoover/NNP	TF:1
interest/NN	TF:1
is/VBZ	TF:2
issue/NN	TF:1
January/NNP	TF:3
job/NN	TF:3
Jobs/NNP	TF:1
jobs/NNS	TF:8
jobseekers/NNS	TF:1
Ken/NNP	TF:1
Labor/NNP	TF:2
level/NN	TF:2
margin/NN	TF:1
market/NN	TF:1
Mayland/NNP	TF:1
mean/VBP	TF:1
means/VBZ	TF:1
Nevertheless/VB	TF:1
November/NNP	TF:1
number/NN	TF:1
office/NN	TF:1
opportunities/NNS	TF:1
pace/NN	TF:1
payrolls/NNS	TF:1
presided/VBD	TF:1
president/NN	TF:1
President/NNP	TF:2
Presidential/NNP	TF:1
producing/VBG	TF:1
push/VB	TF:1
pushed/VBD	TF:1
rate/NN	TF:3
record/NN	TF:1
result/NN	TF:1
revised/VBN	TF:1
Rick/NNP	TF:1
said/VBD	TF:4
September/NNP	TF:1
slow/VB	TF:1
suggests/VBZ	TF:1
term/NN	TF:2
territory/NN	TF:1
unemployment/NN	TF:2
US/NNP	TF:3
value/NN	TF:1
was/VBD	TF:3
workers/NNS	TF:1
year/NN	TF:1
years/NNS	TF:1

(business8)
%/NN	TF:2
A/NNP	TF:1
abandon/VB	TF:1
absorbing/VBG	TF:1
account/NN	TF:1
account/VBP	TF:1
Africa/NNP	TF:1
agriculture/NN	TF:1
argued/VBD	TF:1
attending/VBG	TF:1
attends/VBZ	TF:1
Bank/NNP	TF:1
be/VB	TF:2
been/VBN	TF:1
blamed/VBN	TF:1
Brazil/NNP	TF:1
Brown/NNP	TF:1
budget/NN	TF:1
called/VBD	TF:1
calls/VBZ	TF:1
changing/VBG	TF:1
channel/NN	TF:1
Chidambaram/NNP	TF:3
China/NNP	TF:3
compete/VB	TF:1
conference/NN	TF:2
cope/VBP	TF:1
countries/NNS	TF:2
country/NN	TF:1
cowed/VBN	TF:1
deficit/NN	TF:1
developing/VBG	TF:2
do/VBP	TF:1
economy/NN	TF:2
engagement/NN	TF:1
enterprise/NN	TF:1
exchange/NN	TF:4
expected/VBN	TF:1
exports/NNS	TF:1
face/VB	TF:1
favour/NN	TF:1
finance/NN	TF:3
floating/VBG	TF:1
forecast/VBD	TF:1
Friday/NNP	TF:3
G20/NNP	TF:1
G7/NNP	TF:5
given/VBN	TF:1
globalisation/NN	TF:2
Gordon/NNP	TF:1
grew/VBD	TF:1
group/NN	TF:1
growth/NN	TF:1
hamper/VB	TF:1
has/VBZ	TF:1
have/VBP	TF:2
help/VBP	TF:1
hosted/VBN	TF:1
IMF/NNP	TF:2
India/NNP	TF:8
integration/NN	TF:1
invited/VBN	TF:1
is/VBZ	TF:5
issue/NN	TF:1
judgements/NNS	TF:1
lashed/VBD	TF:1
leading/VBG	TF:1
London/NNP	TF:2
make/VB	TF:1
make/VBP	TF:1
March/NNP	TF:2
meeting/NN	TF:4
minister/NN	TF:3
Mr/NNP	TF:2
Nations/NNPS	TF:1
nations/NNS	TF:5
need/VBP	TF:1
newcomer/NN	TF:1
objected/VBD	TF:1
order/NN	TF:1
organisations/NNS	TF:1
Palaniappan/NNP	TF:1
part/NN	TF:2
place/NN	TF:1
policies/NNS	TF:1
population/NN	TF:1
pressure/NN	TF:1
rate/NN	TF:2
rates/NNS	TF:2
reform/NN	TF:1
renewed/VBN	TF:1
rules/NNS	TF:1
Russia/NNP	TF:1
said/VBD	TF:3
Saturday/NNP	TF:1
shocks/NNS	TF:2
South/NNP	TF:1
status/NN	TF:1
subsidies/NNS	TF:1
surge/NN	TF:1
take/VB	TF:2
taking/VBG	TF:1
terms/NNS	TF:1
thirds/NNS	TF:1
Thursday/NNP	TF:2
told/VBD	TF:1
trade/NN	TF:2
tried/VBN	TF:1
UK/NNP	TF:1
United/NNP	TF:1
US/NNP	TF:1
use/VB	TF:1
warned/VBD	TF:1
was/VBD	TF:2
wish/VB	TF:1
world/NN	TF:2
World/NNP	TF:1
year/NN	TF:2

(business9)
%/NN	TF:5
activity/NN	TF:1
Agriculture/NN	TF:1
agriculture/NN	TF:1
Agriculture/NNP	TF:2
assist/VB	TF:1
assistance/NN	TF:4
average/NN	TF:1
be/VB	TF:2
blended/VBN	TF:1
bought/VBN	TF:1
calculated/VBD	TF:1
cereals/NNS	TF:1
chief/NN	TF:1
children/NNS	TF:1
contributed/VBD	TF:1
crop/NN	TF:2
crops/NNS	TF:2
depend/VBP	TF:1
distributions/NNS	TF:1
drained/VBD	TF:1
drought/NN	TF:1
Early/NNP	TF:1
emergency/NN	TF:2
Ethiopia/NNP	TF:4
Ethiopians/NNPS	TF:3
FAO/NNP	TF:2
farmers/NNS	TF:1
fertilizers/NNS	TF:1
food/NN	TF:6
Food/NNP	TF:3
fortified/VBN	TF:1
Global/NNP	TF:1
has/VBZ	TF:1
help/VB	TF:1
Henri/NNP	TF:1
improved/VBN	TF:1
increased/VBN	TF:1
Information/NN	TF:1
is/VBZ	TF:3
Josserand/NNP	TF:1
killed/VBN	TF:1
markets/NNS	TF:1
need/VB	TF:1
needed/VBN	TF:2
Nevertheless/NNP	TF:1
oil/NN	TF:1
Organisation/NNP	TF:2
produced/VBD	TF:1
product/NN	TF:1
production/NN	TF:3
programme/NN	TF:1
Programme/NNP	TF:1
programmes/NNS	TF:1
purchase/NN	TF:1
rains/NNS	TF:1
recommend/VBP	TF:1
recommended/VBN	TF:1
report/NN	TF:3
representing/VBG	TF:1
requirements/NNS	TF:1
rise/NN	TF:1
said/VBD	TF:2
says/VBZ	TF:1
seeds/NNS	TF:1
System/NNP	TF:1
tonnes/NNS	TF:5
top/NN	TF:1
total/NN	TF:1
totalled/VBD	TF:1
use/NN	TF:1
Warning/NNP	TF:1
was/VBD	TF:1
wells/NNS	TF:1
women/NNS	TF:1
World/NNP	TF:1
year/NN	TF:1
years/NNS	TF:1

(business10)
%/NN	TF:2
A/NNP	TF:1
accumulated/VBN	TF:1
accused/VBN	TF:1
accusing/VBG	TF:1
addiction/NN	TF:1
administration/NN	TF:1
advertising/NN	TF:1
Altria/NNP	TF:2
Appeals/NNP	TF:1
be/VB	TF:1
been/VBN	TF:1
brought/VBN	TF:1
Brown/NNP	TF:1
business/NN	TF:1
campaigns/NNS	TF:1
case/NN	TF:3
cigarette/NN	TF:1
claim/NN	TF:1
claimed/VBD	TF:1
Clinton/NNP	TF:1
closed/VBD	TF:1
Columbia/NNP	TF:1
companies/NNS	TF:3
conspired/VBD	TF:1
counteract/VB	TF:1
country/NN	TF:1
court/NN	TF:2
Court/NNP	TF:2
covering/VBG	TF:1
dangers/NNS	TF:1
decision/NN	TF:1
defraud/VB	TF:1
demand/NN	TF:1
demands/NNS	TF:1
deny/VBP	TF:1
District/NNP	TF:1
dollar/NN	TF:1
drawn/VBN	TF:1
effects/NNS	TF:1
filed/VBN	TF:1
firms/NNS	TF:3
found/VBD	TF:1
gains/NNS	TF:1
government/NN	TF:4
Group/NNP	TF:2
has/VBZ	TF:1
have/VBP	TF:1
ignored/VBN	TF:1
impose/VB	TF:1
increase/VB	TF:1
infiltration/NN	TF:1
laws/NNS	TF:1
legislation/NN	TF:1
levels/NNS	TF:1
lied/VBD	TF:1
Liggett/NNP	TF:1
Lorillard/NNP	TF:1
Mafia/NNP	TF:1
manipulated/VBD	TF:1
marketing/VBG	TF:1
met/VBN	TF:1
products/NNS	TF:1
profits/NNS	TF:1
promote/VB	TF:1
Prosecutors/NNS	TF:1
public/NN	TF:1
reached/VBN	TF:1
rejected/VBN	TF:1
rejects/VBZ	TF:1
research/NN	TF:1
Reynolds/NNP	TF:2
rising/VBG	TF:1
RJ/NNP	TF:1
ruled/VBD	TF:1
rules/NNS	TF:1
ruling/NN	TF:1
say/VBP	TF:1
settlement/NN	TF:1
Shares/NNS	TF:1
showing/VBG	TF:1
smoking/NN	TF:3
states/NNS	TF:1
sue/VB	TF:1
surrender/VB	TF:1
targeted/VBD	TF:1
teenagers/NNS	TF:1
thrown/VBN	TF:1
tobacco/NN	TF:5
Tobacco/NNP	TF:2
US/NNP	TF:2
wanted/VBD	TF:1
was/VBD	TF:1
Washington/NNP	TF:1
were/VBD	TF:1
Williamson/NNP	TF:1
years/NNS	TF:1
£155bn/NN	TF:1

(business11)
%/NN	TF:1
ad/NN	TF:1
advertising/NN	TF:3
Analysts/NNS	TF:1
announced/VBD	TF:1
announced/VBN	TF:1
Ask/NNP	TF:4
attributed/VBD	TF:1
be/VB	TF:1
become/VBN	TF:1
brought/VBN	TF:1
business/NN	TF:1
cases/NNS	TF:1
company/NN	TF:1
Doubleclick/NNP	TF:2
dwarfed/VBN	TF:1
earned/VBD	TF:1
exceeding/VBG	TF:1
expectations/NNS	TF:1
falls/NNS	TF:1
fell/VBD	TF:1
firm/NN	TF:2
fortunes/NNS	TF:1
fuelled/VBN	TF:1
Google/NNP	TF:2
had/VBD	TF:1
has/VBZ	TF:2
have/VB	TF:1
hold/NN	TF:1
improving/VBG	TF:1
increase/NN	TF:1
investors/NNS	TF:1
is/VBZ	TF:1
Jeeves/NNP	TF:3
Jeeves/NNPS	TF:1
Late/VB	TF:1
leading/VBG	TF:1
marketing/NN	TF:1
names/NNS	TF:1
news/NN	TF:1
online/VBP	TF:1
outperformance/NN	TF:1
player/NN	TF:1
profit/NN	TF:2
profits/NNS	TF:1
providers/NNS	TF:1
put/VBN	TF:1
quarter/NN	TF:3
quarters/NNS	TF:1
resurgence/NN	TF:1
revenue/NN	TF:1
revival/NN	TF:2
sale/NN	TF:1
search/NN	TF:1
shares/NNS	TF:1
taken/VBN	TF:1
thank/VB	TF:1
thrilled/VBD	TF:1
Thursday/NNP	TF:1
tipping/VBG	TF:1
